Words,Existence,Recreation,Social relations,Aesthetics,Spiritual,Knowledge systems,Inspiration,Cultural heritage,Education,Sense of place,Cultural diversity
textures,,,,152,,,,,,,
texturemaps,,,,152,,,,,,,
texturemap,,,,152,,,,,,,
texture,,,,152,,,,,,,
hiking,,60,,,,,,,,,
hike,,40,,,,,,,,,
sunset,,,,36,,,,,,,
mountains,35,,,,,,,,,,
canyons,29,,,,,,,,,,
sky,,,,21,,,,,,,
hills,14,,,,,,,,,,
skyline,,,,14,,,,,,,
mountains,13,,,,,,,,,,
clouds,,,,11,,,,,,,
sun,,,,10,,,,,,,
weather,,,,10,,,,,,,
sunriserunyon,,9,,,,,,,,,
sunriseinrunyon,,9,,,,,,,,,
sunrise,,,,9,,,,,,,
sunriseinrunyoncanyonpark,,9,,,,,,,,,
trail,,9,,,,,,,,,
observatory,,8,,,,,,,,,
pacificocean,,,,5,,,,,,,
panorama,,,,5,,,,,,,
hill ,4,,,,,,,,,,
horse,3,,,,,,,,,,
color,,,,3,,,,,,,
run,,3,,,,,,,,,
jog,,3,,,,,,,,,
